069. 《窃听风暴》 | 评分：9.2 | 评价人数：624872 | 年份：2006 | 短评：
070. 《音乐之声》 | 评分：9.1 | 评价人数：675075 | 年份：1965 | 短评：
071. 《功夫》 | 评分：8.9 | 评价人数：1313964 | 年份：2004 | 短评：
072. 《西西里的美丽传说》 | 评分：8.9 | 评价人数：1081602 | 年份：2000 | 短评：
073. 《哈利·波特与阿兹卡班的囚徒》 | 评分：9.0 | 评价人数：875913 | 年份：2004 | 短评：
074. 《阿凡达》 | 评分：8.8 | 评价人数：1555306 | 年份：2009 | 短评：
075. 《看不见的客人》 | 评分：8.8 | 评价人数：1421992 | 年份：2016 | 短评：
076. 《拯救大兵瑞恩》 | 评分：9.1 | 评价人数：716225 | 年份：1998 | 短评：
077. 《沉默的羔羊》 | 评分：8.9 | 评价人数：1002013 | 年份：1991 | 短评：
078. 《小鞋子》 | 评分：9.2 | 评价人数：457307 | 年份：1997 | 短评：
079. 《布达佩斯大饭店》 | 评分：8.9 | 评价人数：1069466 | 年份：2014 | 短评：
080. 《飞越疯人院》 | 评分：9.1 | 评价人数：597014 | 年份：1975 | 短评：
081. 《蝴蝶效应》 | 评分：8.9 | 评价人数：1053807 | 年份：2004 | 短评：
082. 《禁闭岛》 | 评分：8.9 | 评价人数：1098336 | 年份：2010 | 短评：
083. 《心灵捕手》 | 评分：9.0 | 评价人数：804953 | 年份：1997 | 短评：
084. 《致命魔术》 | 评分：8.9 | 评价人数：952873 | 年份：2006 | 短评：
085. 《低俗小说》 | 评分：8.9 | 评价人数：945514 | 年份：1994 | 短评：
086. 《还有明天》 | 评分：9.3 | 评价人数：341728 | 年份：2023 | 短评：
087. 《超脱》 | 评分：9.0 | 评价人数：711854 | 年份：2011 | 短评：
088. 《哈利·波特与密室》 | 评分：8.9 | 评价人数：901453 | 年份：2002 | 短评：
089. 《喜剧之王》 | 评分：8.8 | 评价人数：1081102 | 年份：1999 | 短评：
090. 《一一》 | 评分：9.1 | 评价人数：493308 | 年份：2000 | 短评：
091. 《摩登时代》 | 评分：9.3 | 评价人数：341685 | 年份：1936 | 短评：
092. 《杀人回忆》 | 评分：8.9 | 评价人数：824397 | 年份：2003 | 短评：
093. 《致命ID》 | 评分：8.9 | 评价人数：934393 | 年份：2003 | 短评：
094. 《春光乍泄》 | 评分：9.0 | 评价人数：702512 | 年份：1997 | 短评：
095. 《加勒比海盗》 | 评分：8.8 | 评价人数：956798 | 年份：2003 | 短评：
096. 《海豚湾》 | 评分：9.3 | 评价人数：379676 | 年份：2009 | 短评：
097. 《美国往事》 | 评分：9.1 | 评价人数：465399 | 年份：1984 | 短评：
098. 《红辣椒》 | 评分：9.0 | 评价人数：559264 | 年份：2006 | 短评：
099. 《七宗罪》 | 评分：8.8 | 评价人数：1048928 | 年份：1995 | 短评：
100. 《唐伯虎点秋香》 | 评分：8.8 | 评价人数：1209804 | 年份：1993 | 短评：
101. 《狩猎》 | 评分：9.1 | 评价人数：462032 | 年份：2012 | 短评：
102. 《幽灵公主》 | 评分：8.9 | 评价人数：660380 | 年份：1997 | 短评：
103. 《甜蜜蜜》 | 评分：8.9 | 评价人数：662122 | 年份：1996 | 短评：
104. 《寄生虫》 | 评分：8.8 | 评价人数：1530246 | 年份：2019 | 短评：
105. 《蝙蝠侠：黑暗骑士崛起》 | 评分：8.9 | 评价人数：804796 | 年份：2012 | 短评：
106. 《天书奇谭》 | 评分：9.2 | 评价人数：328082 | 年份：1983 | 短评：
107. 《7号房的礼物》 | 评分：8.9 | 评价人数：615801 | 年份：2013 | 短评：
108. 《超能陆战队》 | 评分：8.8 | 评价人数：1131728 | 年份：2014 | 短评：
109. 《爱在黎明破晓前》 | 评分：8.8 | 评价人数：788265 | 年份：1995 | 短评：
110. 《第六感》 | 评分：8.9 | 评价人数：628978 | 年份：1999 | 短评：
111. 《爱在日落黄昏时》 | 评分：8.9 | 评价人数：644329 | 年份：2004 | 短评：
112. 《被嫌弃的松子的一生》 | 评分：8.8 | 评价人数：767843 | 年份：2006 | 短评：
113. 《茶馆》 | 评分：9.6 | 评价人数：202406 | 年份：1982 | 短评：
114. 《重庆森林》 | 评分：8.8 | 评价人数：913279 | 年份：1994 | 短评：
115. 《未麻的部屋》 | 评分：9.1 | 评价人数：417586 | 年份：1997 | 短评：
116. 《哈利·波特与火焰杯》 | 评分：8.8 | 评价人数：789032 | 年份：2005 | 短评：
117. 《头脑特工队》 | 评分：8.8 | 评价人数：790638 | 年份：2015 | 短评：
118. 《入殓师》 | 评分：8.9 | 评价人数：737571 | 年份：2008 | 短评：
